year,month,nchildren,m-age-neg,m-age-pos,iqr-age-neg,iqr-age-pos,x-pd,sd-pd,mm-rf,mmP-rf,min-temp,max-temp,x-temp,preP
2015,1,74,34.0,28.0,45.0,47.0,56006.917,82692.19,0.0,0.0,19.63,33.21,26.42,0.1355
2015,2,197,25.0,40.0,43.5,26.0,85207.06,99034.04,37.95,0.03,24.02,34.61,29.31,0.08
2015,3,354,24.0,48.0,60.0,50.0,43879.258,76878.62,62.9,0.05,24.15,34.96,29.56,0.094
2015,4,361,34.5,42.0,60.0,46.0,61786.91,89812.91,115.55,0.09,23.54,34.08,28.81,0.131
2015,5,52,36.0,36.0,50.0,5.0,40098.33,91552.42,159.4,0.12,23.12,32.49,27.81,0.119
2015,6,57,32.0,77.0,75.0,59.0,67834.555,85127.4,207.65,0.16,22.6,29.96,26.28,0.122
2015,7,78,37.5,50.0,80.0,73.0,33447.295,68900.43,137.35,0.11,22.29,29.11,25.7,0.1305
2015,8,131,31.0,36.0,28.0,76.0,50242.06,70263.23,98.35,0.08,22.23,28.42,25.33,0.2085
2015,9,374,32.0,35.0,46.0,48.0,66442.128,77624.93,329.7,0.26,21.95,28.98,25.47,0.2055
2015,10,366,34.0,36.0,62.5,48.0,72917.111,81625.88,124.75,0.1,22.47,30.77,26.62,0.124
2015,11,492,24.0,48.0,45.0,60.0,48795.847,77706.95,9.85,0.01,23.12,32.25,27.68,0.131
2015,12,496,24.0,45.5,39.0,44.0,46061.959,68449.71,0.0,0.0,18.5,32.88,25.69,0.122
2016,1,254,20.0,37.5,27.0,122.0,631.68998,848.1295,11.1,0.01,20.84,33.62,27.23,0.17
2016,2,275,24.0,36.0,48.0,36.0,42076.735,54554.1,0.0,0.0,22.83,35.87,29.35,0.1055
2016,3,202,24.0,13.0,37.0,19.0,81022.876,71728.28,184.9,0.12,24.12,33.83,28.97,0.0785
2016,4,270,24.0,23.0,34.0,36.0,55391.144,81566.75,192.7,0.12,23.92,33.06,28.49,0.1015
2016,5,214,24.0,24.0,61.0,48.0,57505.599,77278.02,254.35,0.16,22.99,31.68,27.33,0.181
2016,6,189,36.0,60.0,66.0,72.0,54517.664,74542.15,288.5,0.19,22.18,29.64,25.91,0.128
2016,7,383,32.0,39.0,58.0,54.0,36547.377,60615.39,70.85,0.05,22.5,28.61,25.55,0.1655
2016,8,340,30.0,36.0,42.0,35.0,59404.988,82419.85,76.1,0.05,22.3,28.34,25.32,0.2085
2016,9,330,30.0,36.0,60.0,24.0,69117.836,93136.78,322.2,0.21,22.34,29.52,25.93,0.142
2016,10,450,30.0,36.0,60.0,42.0,66181.643,86721.77,142.05,0.09,22.2,31.02,26.61,0.139
2016,11,406,24.0,45.0,49.0,48.0,72080.454,86120.74,11.6,0.01,23.36,32.6,27.98,0.1215
2016,12,366,24.0,48.0,50.0,66.0,80482.601,85974.81,0.0,0.0,22.49,33.28,27.89,0.1355
2017,1,243,26.0,48.0,85.5,87.0,46098.353,57077.49,0.0,0.0,21.4,33.58,27.49,0.113
2017,2,295,26.0,36.0,60.0,56.0,32444.538,55819.02,1.0,0.0,22.96,35.16,29.06,0.1155
2017,3,264,24.0,29.0,48.0,57.0,46339.721,72930.63,64.4,0.04,23.99,34.76,29.38,0.0885
2017,4,167,24.0,36.0,61.0,75.0,42710.407,75650.52,101.85,0.07,23.2,33.01,28.1,0.118
2017,5,316,36.0,48.0,55.5,48.0,52909.773,68737.12,188.3,0.13,22.84,30.99,26.92,0.1505
2017,6,405,36.0,56.0,58.0,75.0,52390.521,68959.72,351.65,0.24,22.88,30.35,26.62,0.1305
2017,7,485,36.0,36.0,56.0,56.0,68996.85,86736.69,301.7,0.2,22.74,28.45,25.6,0.1885
2017,8,410,48.0,48.0,73.0,44.5,52337.974,74991.68,106.25,0.07,22.09,27.5,24.79,0.145
2017,9,88,42.0,60.0,57.0,48.0,32547.883,38842.36,221.15,0.15,21.98,28.82,25.4,0.152
2017,10,323,55.0,29.0,86.0,79.5,43274.857,54466.37,96.4,0.07,23.03,31.12,27.08,0.1525
2017,11,434,56.0,69.0,86.0,76.0,47830.117,79739.49,23.2,0.02,23.6,32.97,28.28,0.143
2017,12,283,57.0,59.0,89.0,104.0,60544.2,104867.4,20.0,0.01,22.42,33.05,27.74,0.139
